Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.04    0.00 2176374/3272105     Obj3D_ObjCollideBoxP [26]
[34]     2.3    0.06    0.00 3272105         ObjSK_GetSlot [34]
-----------------------------------------------
                0.01    0.04    9408/9408        Prim_RenderPrimative [10]
[35]     2.1    0.01    0.04    9408         Prim_RenderCube [35]
                0.01    0.02  225792/2232832     Obj3D_Point [13]
                0.00    0.00   56448/586368      Obj3D_BindTexture [33]
                0.00    0.00   56448/605184      GfxApi_Begin [47]
                0.00    0.00   56448/605184      GfxApi_End [48]
                0.00    0.00   56448/586368      Obj3D_SelectTexture [54]
                0.00    0.00   56448/605184      GfxApi_UnbindTex [51]
                0.00    0.00    9408/13130       GfxApi_Color [77]
-----------------------------------------------
                0.01    0.03    3722/3722        Render3D_Frame [6]
[36]     1.8    0.01    0.03    3722         Sky_DrawSkyBox [36]
                0.03    0.00   75264/75264       Sky_MakeSkyVec [44]
                0.00    0.00   18816/605184      GfxApi_BindTex [42]
                0.00    0.00   18816/605184      GfxApi_Begin [47]
                0.00    0.00   18816/605184      GfxApi_End [48]
                0.00    0.00   18816/605184      GfxApi_UnbindTex [51]
-----------------------------------------------
                0.00    0.04    3887/3887        Render_Frame [4]
[37]     1.7    0.00    0.04    3887         UICon_Draw [37]
                0.00    0.02   51956/52120       GfxApi_Show [50]
                0.00    0.02   51956/52120       GfxApi_MoveTo [58]
                0.00    0.00    1676/5727        GfxApi_SetRange [74]
                0.00    0.00    1676/1676        GfxApi_FillSquare [79]
                0.00    0.00    1676/1840        GfxApi_TextColor [78]
                0.00    0.00    1676/2004        GfxApi_SetFont [80]
                0.00    0.00    1676/1840        GfxApi_FontSize2 [83]
                0.00    0.00    1676/1676        Render_PushState [92]
                0.00    0.00    1676/1676        Render_PopState [91]
-----------------------------------------------
[38]     1.7    0.04    0.00   75222+303     <cycle 2 as a whole> [38]
                0.04    0.00   75375             Obj3D_SpriteOpts <cycle 2> [39]
-----------------------------------------------
                                 153             Obj3D_NewSprite <cycle 2> [126]
                0.04    0.00   75222/75222       Obj3D_ApplySpr [32]
[39]     1.7    0.04    0.00   75375         Obj3D_SpriteOpts <cycle 2> [39]
                                 150             Obj3D_NewSprite <cycle 2> [126]
-----------------------------------------------
                0.00    0.04       1/1           Obj3D_SkyObj [41]
[40]     1.6    0.00    0.04       1         Sky_LoadSky [40]
                0.00    0.04       6/29          Obj3D_LoadImage [14]
-----------------------------------------------
                                                 <spontaneous>
[41]     1.6    0.00    0.04                 Obj3D_SkyObj [41]
                0.00    0.04       1/1           Sky_LoadSky [40]
-----------------------------------------------
